user_id,app_name,category,app_type,activity_type,timestamp,details
83f904b5-afe4-4afb-b446-1cf1553e95a7,App5,Category5,Malware,uninstall,2024-05-09 01:36:53,User 83f904b5-afe4-4afb-b446-1cf1553e95a7 uninstalled App5 from category Category5.
6cd1cd4e-fb9f-4bb2-8c0b-60f7997c5990,App2,Category2,Benign,uninstall,2024-06-11 21:30:26,User 6cd1cd4e-fb9f-4bb2-8c0b-60f7997c5990 uninstalled App2 from category Category2.
d4ad66ad-7afa-4270-8560-3887664a1105,App5,Category5,Malware,update,2024-02-27 18:34:11,User d4ad66ad-7afa-4270-8560-3887664a1105 updated App5 from category Category5.
912b649e-729b-43a5-8002-f479a03db358,App5,Category5,Malware,uninstall,2024-04-30 05:10:29,User 912b649e-729b-43a5-8002-f479a03db358 uninstalled App5 from category Category5.
72b05dd0-2de9-4662-a9fd-16c8c7b8ca80,App2,Category2,Benign,uninstall,2024-01-27 13:31:06,User 72b05dd0-2de9-4662-a9fd-16c8c7b8ca80 uninstalled App2 from category Category2.
824a412d-894b-4969-bccf-9d18e8b3f2aa,App4,Category4,Benign,uninstall,2024-02-16 00:12:06,User 824a412d-894b-4969-bccf-9d18e8b3f2aa uninstalled App4 from category Category4.
b7f46431-cda8-4142-8554-5d4af553d66e,App2,Category2,Benign,install,2024-01-18 19:13:53,User b7f46431-cda8-4142-8554-5d4af553d66e installed App2 from category Category2.
be635e02-e9a3-4217-8bc3-65d57d6626cb,App3,Category3,Malware,update,2024-03-13 01:01:04,User be635e02-e9a3-4217-8bc3-65d57d6626cb updated App3 from category Category3.
77f42b0d-603b-473a-9a94-e92e8dcf581f,App2,Category2,Benign,install,2024-04-06 12:59:09,User 77f42b0d-603b-473a-9a94-e92e8dcf581f installed App2 from category Category2.
47051301-775e-4566-ac3f-a8cb87961658,App4,Category4,Benign,update,2024-04-12 12:35:17,User 47051301-775e-4566-ac3f-a8cb87961658 updated App4 from category Category4.
77377ba3-9578-41b5-a982-a8606f2f5fc5,App1,Category1,Malware,install,2024-02-13 18:24:10,User 77377ba3-9578-41b5-a982-a8606f2f5fc5 installed App1 from category Category1.
03f7be72-2adb-4e70-bd6c-f957a21e3439,App5,Category5,Malware,update,2024-03-06 07:36:39,User 03f7be72-2adb-4e70-bd6c-f957a21e3439 updated App5 from category Category5.
490f2ddf-875d-407a-876f-0bceda762aff,App3,Category3,Malware,crash,2024-03-07 00:31:16,App App3 from category Category3 crashed on user 490f2ddf-875d-407a-876f-0bceda762aff's device.
5ddbd9f9-e33e-4382-8f9f-5a5c8d68f614,App5,Category5,Malware,crash,2024-06-11 19:01:29,App App5 from category Category5 crashed on user 5ddbd9f9-e33e-4382-8f9f-5a5c8d68f614's device.
cfe39f26-7a16-4f8d-91c3-e2cca9f4faa4,App4,Category4,Benign,uninstall,2024-01-13 12:42:00,User cfe39f26-7a16-4f8d-91c3-e2cca9f4faa4 uninstalled App4 from category Category4.
adf4660a-0d13-4845-a3ac-c67e25d020b3,App1,Category1,Malware,install,2024-01-15 08:59:11,User adf4660a-0d13-4845-a3ac-c67e25d020b3 installed App1 from category Category1.
02f6871c-8dd4-46e8-abe6-62a641b07094,App4,Category4,Benign,update,2024-02-01 21:23:31,User 02f6871c-8dd4-46e8-abe6-62a641b07094 updated App4 from category Category4.
b9b02e12-a511-48b1-afd5-bb413a844f5f,App5,Category5,Malware,crash,2024-01-26 02:42:41,App App5 from category Category5 crashed on user b9b02e12-a511-48b1-afd5-bb413a844f5f's device.
c0369483-6cc3-423c-9272-bccf71e57626,App1,Category1,Malware,update,2024-05-16 17:07:13,User c0369483-6cc3-423c-9272-bccf71e57626 updated App1 from category Category1.
cc2ce01d-dd70-4af3-b321-ef0bdd08c955,App5,Category5,Malware,update,2024-02-24 22:12:41,User cc2ce01d-dd70-4af3-b321-ef0bdd08c955 updated App5 from category Category5.
17a734d1-e98d-46f2-aac7-543af87260ed,App4,Category4,Benign,install,2024-05-21 09:32:10,User 17a734d1-e98d-46f2-aac7-543af87260ed installed App4 from category Category4.
8fe761f5-cb6a-497e-a2ec-4c7af9bd9e66,App5,Category5,Malware,update,2024-04-23 15:58:57,User 8fe761f5-cb6a-497e-a2ec-4c7af9bd9e66 updated App5 from category Category5.
22dbff31-79bb-4c6e-8f06-f0d87bbba5b4,App3,Category3,Malware,uninstall,2024-03-11 19:40:18,User 22dbff31-79bb-4c6e-8f06-f0d87bbba5b4 uninstalled App3 from category Category3.
9d00d00a-b70b-4b42-8d56-f539d11d1b7b,App3,Category3,Malware,uninstall,2024-06-03 05:17:31,User 9d00d00a-b70b-4b42-8d56-f539d11d1b7b uninstalled App3 from category Category3.
daeeb817-4491-4d06-93be-bdbff8ef0b83,App1,Category1,Malware,open,2024-02-20 08:59:44,User daeeb817-4491-4d06-93be-bdbff8ef0b83 opened App1 from category Category1.
ac72bef7-6025-4226-bdce-4c5e44cf4155,App2,Category2,Benign,crash,2024-05-11 08:49:29,App App2 from category Category2 crashed on user ac72bef7-6025-4226-bdce-4c5e44cf4155's device.
8e066369-9dd0-42a1-8343-34939abe0d6a,App1,Category1,Malware,crash,2024-04-08 18:37:38,App App1 from category Category1 crashed on user 8e066369-9dd0-42a1-8343-34939abe0d6a's device.
e3d76a11-fa2a-488a-ae8a-26e5f32313f4,App2,Category2,Benign,open,2024-03-05 17:04:53,User e3d76a11-fa2a-488a-ae8a-26e5f32313f4 opened App2 from category Category2.
c29ee543-ca97-46be-9eb0-3c0729664e95,App2,Category2,Benign,update,2024-02-13 08:03:16,User c29ee543-ca97-46be-9eb0-3c0729664e95 updated App2 from category Category2.
6e874d38-3b7a-453e-969c-af3b2107a122,App2,Category2,Benign,install,2024-01-16 23:32:42,User 6e874d38-3b7a-453e-969c-af3b2107a122 installed App2 from category Category2.
